Filename,Title,Artist,Search_Query,Genre
Cooler Than Me.mp3,Cooler Than Me,Mike Posner,Mike Posner Cooler Than Me song genre,Pop
Cosmic Girl.mp3,Cosmic Girl,Jamiroquai,Jamiroquai Cosmic Girl song genre,Disco; Britpop
Cotton Eye Joe.mp3,Cotton Eye Joe,Rednex,Rednex Cotton Eye Joe song genre,Country; Dance
Counting Stars.mp3,Counting Stars,OneRepublic,OneRepublic Counting Stars song genre,Pop; Rock
Crazy Little Thing Called Love.mp3,Crazy Little Thing Called Love,Queen,Queen Crazy Little Thing Called Love song genre,Rock
Crazy What Love Can Do.mp3,Crazy What Love Can Do,David Guetta,David Guetta Crazy What Love Can Do song genre,Dance; EDM
Crowded House - Don't Dream It's Over.mp3,Don'T Dream It'S Over,Crowded House,Crowded House Don'T Dream It'S Over song genre,Rock
Culture Club - Karma Chameleon.mp3,Karma Chameleon,Culture Club,Culture Club Karma Chameleon song genre,R&B
Dakota.mp3,Dakota,Stereophonics,Stereophonics Dakota song genre,Rock; Britpop
Dancing On The Ceiling.mp3,Dancing On The Ceiling,Lionel Richie,Lionel Richie Dancing On The Ceiling song genre,Pop; R&B
David Bowie & Mick Jagger - Dancing In The Street.mp3,Dancing In The Street,David Bowie/Mick Jagger,David Bowie/Mick Jagger Dancing In The Street song genre,R&B
"December, 1963 (Oh, What a Night).mp3","December, 1963 (Oh, What A Night)",Frankie Valli and the Four Seasons,"Frankie Valli and the Four Seasons December, 1963 (Oh, What A Night) song genre",Disco; Rock
Disco 2000.mp3,Disco 2000,Pulp,Pulp Disco 2000 song genre,Britpop
DJ Jazzy Jeff & The Fresh Prince - Summertime.mp3,Summertime,Dj Jazzy Jeff & The Fresh Prince,Dj Jazzy Jeff & The Fresh Prince Summertime song genre,Hip-Hop
Do Ya Wanna Taste It.mp3,Do Ya Wanna Taste It,WIG WAM,WIG WAM Do Ya Wanna Taste It song genre,Rock
Doctor Jones.mp3,Doctor Jones,Aqua,Aqua Doctor Jones song genre,Pop
Dog Days Are Over.mp3,Dog Days Are Over,Florence & The Machine,Florence & The Machine Dog Days Are Over song genre,Indie; Alternative Rock
Domino.mp3,Domino,Jessie J,Jessie J Domino song genre,Dance; EDM
Don't Leave Me This Way.mp3,Don'T Leave Me This Way,The Communards,The Communards Don'T Leave Me This Way song genre,R&B
Don't Let Me Down.mp3,Don'T Let Me Down,The Chainsmokers,The Chainsmokers Don'T Let Me Down song genre,Indie; EDM
Don't Start Now.mp3,Don'T Start Now,Dua Lipa,Dua Lipa Don'T Start Now song genre,Disco; Pop
Don't Stop Believin'.mp3,Don'T Stop Believin',journey,journey Don'T Stop Believin' song genre,Rock
Don't Stop Me Now.mp3,Don'T Stop Me Now,Queen,Queen Don'T Stop Me Now song genre,Pop; Rock
Don't You Want Me.mp3,Don'T You Want Me,The Human League,The Human League Don'T You Want Me song genre,Pop
Doo Wah Diddy.mp3,Doo Wah Diddy,DJ Ötzi,DJ Ötzi Doo Wah Diddy song genre,Rock
Down Under.mp3,Down Under,Men At Work,Men At Work Down Under song genre,Reggae; Pop
Dreams.mp3,Dreams,The Cranberries,The Cranberries Dreams song genre,Alternative Rock
Drops of Jupiter (Tell Me).mp3,Drops Of Jupiter (Tell Me),Train,Train Drops Of Jupiter (Tell Me) song genre,Rock
Dynamite -BTS.mp3,Dynamite,BTS,BTS Dynamite song genre,K-Pop
Dynamite.mp3,Dynamite,Taio Cruz,Taio Cruz Dynamite song genre,R&B; EDM
D：Ream - Things Can Only Get Better.mp3,Things Can Only Get Better,D：Ream,D：Ream Things Can Only Get Better song genre,Dance; Britpop
